FILTRO FILA,,,,,,,,,,,,,,,,,
,Ajo morado,Verdura,3,75,Ml,"0,55",,,,patatas,Verdura,50,1250,Ml,"1,64",,
,jengibre,Verdura,3,75,Ml,"0,60",,,,Cebolla,Verdura,20,500,Ml,"1,13",,
,Aceite girasol,Grasa,10,250,Gr,"0,44",,,,Ajo morado,Verdura,5,125,Gr,"0,92",,
,Salsa pescado,Sin asignar,3,75,Gr,"0,30",,,,jengibre,Verdura,3,75,Gr,"0,60",,
,Tamarindo,Sin asignar,4,100,GR,"0,53",,,,Caldo de pollo deshidratado,Sin asignar,2,50,GR,"0,29",,
,Azúcar,Sin asignar,90,2250,GR,"2,25",,,,Tomate Triturado,Sin asignar,50,1250,GR,"1,53",,
,Pasta curry rojo,Sin asignar,15,375,GR,"2,44",,,,salsa soja,Sin asignar,15,375,GR,"0,84",,
,Arroz Basmati,H.Carbono,120,3000,,"6,60",,,,,,,,,-,,
,caldo vegetal,Sin asignar,5,125,,"0,89",,,,,,,,,-,,
,Leche de coco,Sin asignar,100,2500,,"7,98",Resumen nutricional,Pax,,,,,,,-,Resumen nutricional,Pax
,Cilantro,Verdura,3,75,,"1,62",H.Carbono,120,,,,,,,-,H.Carbono,0
,Hoja de lima,Verdura,2,50,,"0,96",Proteina,60,,,,,,,-,Proteina,70
,Lemongrass,Verdura,2,50,,"0,35",Verdura,46,,,,,,,-,Verdura,108
,galanga,Verdura,1,25,,"0,19",Total gr plato:,453,,Caldo de pollo deshidratado,Sin asignar,2,50,,"0,29",Total gr plato:,297
,pimenta roja golden,Verdura,2,50,,"0,64",Costo por ración,"€1,93",,Tomate Triturado,Sin asignar,50,1250,,"1,53",Costo por ración,"€1,33"
,,,,,,-,Costo total,"€48,27",,,,,,,-,Costo total,"€33,26"
,Elaboracion,,,,,,,,,Elaboracion,,,,,,,
,1,,,,,,,,,1,,,,,,,
,2,,,,,,,,,2,,,,,,,
,3,,,,,,,,,3,,,,,,,
,4,,,,,,,,,4,,,,,,,
,5,,,,,,,,,5,,,,,,,
,6,,,,,,,,,6,,,,,,,
,6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
10,Pasta Boscayola (Vegetarian),,,,,,Costo por ración,"1,10 €",,Pasta amatriciana (Vegetarian),,,,,,Costo por ración,"1,09 €"
,,,,Raciones,,"15,00",,,,,,,Raciones,,"15,00",,
,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,,,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,
,Macarrones,H.Carbono,120,1800,Gr,"2,16",,,,Macarrones,H.Carbono,120,1800,Gr,"2,16",,
,carne soja,Proteina,25,375,Gr,"5,06",,,,seitan,Proteina,40,600,Gr,"7,40",,
,Tomate Triturado,Sin asignar,90,1350,Ml,"1,65",,,,Tomate Triturado,Sin asignar,80,1200,Ml,"1,47",,
,Aceite oliva,Grasa,10,150,Ml,"0,59",,,,Aceite oliva,Grasa,10,150,Ml,"0,59",,
,Sal,Sin asignar,15,225,Gr,"0,09",,,,Sal,Sin asignar,15,225,Gr,"0,09",,
