,,,,Carniceria Samir,Star Cash&Carry,Chino centro,Chino cash&carry,Mercadona,Makro,,,,Presentacion,,
Categoria,Subcategoria,Producto,Cat. Nutricional,€/KG,€/KG,€/KG,€/KG,€/KG,€/KG,purchase_price,purchase_format_gr,€/gr,,Proveedor,Ultima actualización
Frescos,Verduras,Manzana Golden,Verdura,,,,,"€2,20",,"€2,20",1.000,"€0,0022",GR,Makro,25/8/22
Despensa,salsas,Mayonesa,Sin asignar,,,,,"€2,80",,"€2,80",1.000,"€0,0028",,Chino cash&carry,20/08/2025
Frescos,Verduras,Melon,Verdura,,,,,"€0,95",,"€0,95",1.000,"€0,0010",GR,Mercadona,25/8/22
Congelados,Verduras congeladas,Menestra,Verdura,,,,,"€1,15",,"€1,15",1.000,"€0,0012",GR,Makro,
Frescos,Verduras,Menta,Verdura,,,,,"€33,75",,"€33,75",1.000,"€0,0338",GR,Mercadona,25/8/22
Congelados,Pescado congelado,Merluza Entera,Proteina,,,,,"€5,35","€7,48","€5,35",1.000,"€0,0054",,Mercadona,
Congelados,Pescado congelado,Merluza filete grande sin piel,Proteina,,,,,"€8,66","€10,14","€8,66",1.000,"€0,0087",,Mercadona,
Congelados,Pescado congelado,Merluza lomos,Proteina,,,,,"€8,00","€12,83","€8,00",1.000,"€0,0080",,Mercadona,
Despensa,Desayunos,Mermelada,Sin asignar,,,,,,"4,5","€4,50",1.000,"€0,0045",,Makro,25/8/22 0:00
Despensa,Especies,Methi semillas,Sin asignar,,"€9,00",,,,,"€9,00",1.000,"€0,0090",,Star Cash&Carry,
Congelados,Verduras congeladas,Mezcla de setas,Verdura,,,,,"€16,70",,"€16,70",1.000,"€0,0167",Gr,Makro,27-8
Frescos,Verduras,Mezclum,Verdura,,,,,"€9,42",,"€9,42",1.000,"€0,0094",,Makro,25/8/22
Despensa,Despensa,Miel,Sin asignar,,,,,"6,1",,"€6,10",1.000,"€0,0061",,Makro,20/08/2025
Congelados,Carne congelada,Morcillo vaca,Proteina,,,,,-,"€7,88","€7,88",1.000,"€0,0079",,Makro,26-8
despensa,Salsas,Mostaza,Sin asignar,,,,,"€3,48","€1,01","€1,01",1.000,"€0,0010",,Makro,20/08/2025
Despensa,Despensa,Mostaza antigua,Sin asignar,,,,,"€8,50",,"€8,50",1.000,"€0,0085",,Mercadona,20/08/2025
Despensa,Despensa,Mostaza dijon,Sin asignar,,,,,"€6,25",,"€6,25",1.000,"€0,0063",,Mercadona,20/08/2025
Despensa,Desayunos,Muesli,Sin asignar,,,,,"€1,90",,"€1,90",1.000,"€0,0019",,Mercadona,25/8/22 0:00
