Carniceria Samir	Star Cash&Carry	Chino centro	Chino cash&carry	Mercadona	Makro			Presentacion		
Categoria	Subcategoria	Producto	Cat. Nutricional	€/KG	€/KG	€/KG	€/KG	€/KG	€/KG	Precio mas bajo	€/gr		Proveedor	Ultima actualización
despensa	Salsas	Mostaza	Sin asignar					3,48 €	1,01 €	1,01 €	0,00 €		Makro	20/08/2025
Despensa	Salsas	Salsa Barbacoa	Sin asignar					3,2	2,83 €	2,83 €	0,00 €		Makro	20/08/2025
Despensa	Salsas	Tartufo	Sin asignar						28,44	28,44 €	0,03 €	Gr	Makro	
Despensa	Salsas	Salsa pesto V	Sin asignar					10,26 €		10,26 €	0,01 €		Mercadona	20/08/2025
Despensa	salsas	Mayonesa	Sin asignar					2,80 €		2,80 €	0,00 €		Chino cash&carry	20/08/2025
despensa	Vegetariano	Carne soja	Proteina					13,50 €		13,50 €	0,01 €	Gr	Fruteria	
despensa	Vegetariano	Gluten	Proteina							0,00 €	0,00 €		Fruteria	
Embutido	Embutido	Jamon york	Sin asignar					4,8		4,80 €	0,00 €		Makro	20/08/2025
Embutido	Embutido	Jamon Pavo	Sin asignar					7,3		7,30 €	0,01 €			20/08/2025
Embutido	Embutido	Chorizo	Sin asignar					8,89 €	8,96 €	8,89 €	0,01 €		Mercadona	20/08/2025
Frescos	Carne	Babilla vaca	Proteina						10,77 €	10,77 €	0,01 €		Makro	24/8/22
Frescos	Carne	Filetesde vacuno	Proteina					17,7		17,70 €	0,02 €		Makro	24/8/22
Frescos	Carne	Costillar entero	Proteina					-		0,00 €	0,00 €		Makro	25/8/22
Frescos	Carne	Falda vacuno	Proteina							0,00 €	0,00 €		Makro	25/8/22
Frescos	Carne	Bacon	Proteina					10,00 €	6,71 €	6,71 €	0,01 €		Makro	25/8/22
Frescos	Carne	Carne picada Cerdo	Proteina					5,50 €		5,50 €	0,01 €		-	
Frescos	Carne	Costilla cerdo	Proteina					8,00 €	-	8,00 €	0,01 €		Mercadona	25/8/22
